                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2543,                 2.0656,                 2.5878,                0.32535,                0.41463,                 0.2537,                0.08024,                  2.278,                 2.5827,                 3.0645,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.3086,                 2.1661,                 2.7076,                0.27983,                 0.4878,                 0.2328,                0.07435,                  2.183,                 2.5293,                 2.9554,               0.001307,               0.001307,               0.001307
                     37,                 2.2768,                 2.0664,                 2.6175,                0.23605,                0.29268,                0.18185,                0.06036,                  2.225,                 2.6761,                 3.0395,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.1994,                 2.0678,                 2.6184,                0.21178,                0.39024,                 0.2511,                0.08836,                 2.1453,                 2.5188,                 2.9789,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.2289,                 2.1077,                 2.6093,                0.32515,                0.28221,                 0.2515,                0.09885,                 2.0753,                  2.643,                 2.8718,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.1701,                 2.1041,                 2.5542,                0.34565,                0.31707,                0.30888,                0.13121,                 2.0718,                 2.4644,                 2.8109,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.1256,                 2.0045,                 2.5032,                0.28596,                0.39024,                0.27773,                0.12928,                 2.0597,                  2.511,                 2.8151,               0.001208,               0.001208,               0.001208
                     42,                 2.1041,                 1.9723,                 2.4874,                0.28987,                0.31707,                0.29118,                0.11301,                 2.0842,                 2.5355,                 2.8844,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.1148,                 1.9875,                 2.5043,                0.47202,                0.29268,                0.38287,                0.15881,                 2.0559,                 2.2639,                 2.7924,              0.0011684,              0.0011684,              0.0011684
                     44,                  2.032,                 1.9822,                 2.4379,                0.36453,                0.33591,                0.37095,                0.16461,                 2.0784,                 2.6018,                 2.7465,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.0142,                 1.8789,                 2.4112,                0.30368,                0.34146,                0.28485,                0.13613,                 2.0394,                 2.7219,                 2.7656,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.0629,                 1.9389,                 2.3834,                0.12742,                0.12195,                0.04142,                0.01881,                 2.4669,                 4.3383,                 3.3375,               0.001109,               0.001109,               0.001109
                     47,                 2.0345,                 1.9551,                 2.4187,                0.21314,                0.25778,                0.15017,                0.05843,                 2.1703,                 3.3866,                 2.9573,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.0781,                  1.862,                 2.3239,                0.32485,                 0.2439,                 0.1857,                0.06789,                 2.1532,                 3.2483,                 2.9515,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.0069,                  1.909,                 2.4273,                0.34035,                0.19512,                0.19325,                0.07471,                 2.0888,                 3.1719,                 2.9057,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.9844,                  1.854,                 2.3484,                0.37256,                0.31707,                0.30219,                0.11033,                 2.0216,                  2.655,                 2.7225,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.9872,                 1.8399,                 2.3016,                0.45523,                0.19512,                0.19542,                0.08692,                 2.1516,                 3.2791,                 2.9604,                0.00101,                0.00101,                0.00101
                     52,                 1.9428,                 1.7913,                 2.2837,                0.62504,                0.34146,                 0.4512,                0.21965,                 1.8941,                 2.2498,                 2.6481,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.9169,                  1.761,                 2.2747,                0.70264,                0.40369,                0.53454,                0.24473,                 1.9059,                 2.1889,                 2.7016,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.9226,                 1.7803,                 2.2821,                0.50625,                 0.4003,                0.49633,                0.19241,                 2.0008,                 2.2784,                 2.7612,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.9513,                 1.8021,                 2.3239,                0.55167,                0.41463,                0.49712,                0.20113,                 1.9555,                 2.2784,                 2.6618,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.8738,                 1.6623,                 2.1486,                0.40342,                0.46341,                0.44015,                0.22193,                 1.8881,                 2.1301,                 2.5954,               0.000911,               0.000911,               0.000911
                     57,                  1.884,                 1.7241,                 2.1974,                0.31687,                0.56098,                0.43573,                 0.2213,                 1.9314,                 2.1558,                 2.6227,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.8238,                 1.6412,                  2.194,                0.34124,                0.53659,                0.44019,                0.19303,                 1.9404,                 2.1996,                 2.5843,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.8118,                 1.6574,                  2.167,                0.44792,                0.39024,                0.40066,                0.17413,                 2.0049,                 2.3851,                 2.6951,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.7525,                 1.5866,                 2.1219,                0.56627,                0.41463,                 0.4752,                0.22668,                 1.8757,                 2.3099,                  2.577,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.7254,                 1.6063,                 2.1724,                0.57296,                0.55642,                0.55009,                0.27473,                 1.8183,                 2.1555,                 2.5313,               0.000812,               0.000812,               0.000812
                     62,                 1.8055,                 1.6437,                 2.1339,                0.46629,                0.43902,                 0.4924,                 0.2721,                 1.8187,                 2.1065,                  2.487,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.8213,                 1.6791,                 2.1929,                0.60861,                 0.5122,                0.58049,                0.29405,                 1.8454,                 1.9809,                 2.4901,              0.0007724,              0.0007724,              0.0007724
